OBJECTID *;TIPO;NOMBRE;CONCESION;GEN;SENTIDO;COD_VIA;DEP;CONCESIONA;INIC_OPER;CAT1;CAT2;CAT3;CAT4;CAT5;CAT6;CAT7;ETIQUETA;longitud;latitud
1;Actual;ALVARADO;IP - Cambao – Manizales;4G;Bidireccional;4305;Tolima;CONCESIONARIA ALTERNATIVAS VIALES SAS;04/18/2016 12:00:00 AM;11100;11800;12300;12900;27400;37600;40700;Alvarado;-74.991661;4.507609
2;Actual;CHICORAL;IP – GICA;4G;Bidireccional;4004B;Tolima;APP GICA S.A;09/07/2010 12:00:00 AM;11200;12200;11200;14600;29500;39400;43400;Chicoral;-74.880531;4.245502
3;Actual;CHINAUTA;IP – Ampliación a tercer carril doble calzada Bogotá - Girardot;4G;Bidireccional;4005;Cundinamarca;VÍA 40 EXPRESS S.A.S.;12/01/2016 12:00:00 AM;10700;12000;25700;41800;48100;0;0;Chinauta;-74.500381;4.269189
4;Actual;HONDA;IP - Cambao – Manizales;4G;Bidireccional;5007;Tolima;CONCESIONARIA ALTERNATIVAS VIALES SAS;04/18/2016 12:00:00 AM;11100;11800;12300;12900;27400;37600;40700;Honda;-74.820282;5.201584
6;Actual;EL KORÁN;Ruta del Sol – Sector 1;3G;Bidireccional;5008B;Cundinamarca;CONSORCIO VIAL HELIOS;12/03/2014 12:00:00 AM;13300;18700;26400;55100;68500;81300;0;El Korán;-74.613495;5.497189
8;Actual;CHUSACA;IP – Ampliación a tercer carril doble calzada Bogotá - Girardot;4G;Bidireccional;4005;Cundinamarca;VÍA 40 EXPRESS S.A.S.;12/01/2016 12:00:00 AM;10700;12000;25700;41800;48100;0;0;Chusacá;-74.271805;4.537452
9;Actual;BOQUERÓN I;IP - Chirajara – Fundadores;4G;Bidireccional;4006;Cundinamarca;CONCESIONARIA VIAL ANDINA S.A.S. COVIANDINA SAS;09/29/1999 12:00:00 AM;11900;35300;17800;47100;52900;58800;70500;Boquerón 1;-74.073395;4.452599
10;Actual;BOQUERÓN II;IP - Chirajara – Fundadores;4G;Bidireccional;4006;Cundinamarca;CONCESIONARIA VIAL ANDINA S.A.S. COVIANDINA SAS;03/01/2004 12:00:00 AM;11900;35300;17800;47100;52900;58800;70500;Boquerón 2;-74.050049;4.454152
11;Actual;RÍO BOGOTÁ;Bogotá (Fontibón) – Faca – Los Alpes;1G;Unidireccional E-O;5008A;Cundinamarca;CONCESIONES CCFC S.A.;10/01/2001 12:00:00 AM;8300;12400;10800;14400;24500;33100;35800;Río Bogotá;-74.179344;4.6987
12;Actual;PATIOS;Perimetral de Oriente de Cundinamarca;4G;Unidireccional N-S;5009;Cundinamarca;PERIMETRAL ORIENTAL DE BOGOTA S.A.S;04/18/2016 12:00:00 AM;10000;15700;24300;35600;48700;49100;0;Patios;-74.010605;4.663729
13;Actual;CORZO;Bogotá (Fontibón) – Faca – Los Alpes;1G;Unidireccional O-E;5008A;Cundinamarca;CONCESIONES CCFC S.A.;10/01/2001 12:00:00 AM;8300;12400;10800;14400;24500;33100;35800;Corzo;-74.291145;4.748722
14;Actual;CAIQUERO;Bogotá – La Vega – Villeta;1G;Bidireccional;5008;Cundinamarca;CONCESION SABANA DE OCCIDENTE S.A.;02/16/2008 12:00:00 AM;9600;12500;31100;37500;43100;0;0;Caiquero;-74.414108;5.065366
15;Actual;SIBERIA;Bogotá – La Vega – Villeta;1G;Bidireccional;5008;Cundinamarca;CONCESION SABANA DE OCCIDENTE S.A.;10/21/1996 12:00:00 AM;10400;14800;12500;16600;29200;39100;43000;Siberia;-74.185028;4.780402
16;Actual;ANDES;IP – Accesos Norte a Bogotá;4G;Unidireccional S-N;45A;Cundinamarca;ACCESOS NORTE DE BOGOTÁ S.A.S.;12/01/2017 12:00:00 AM;9000;15600;10000;22600;34400;44300;49100;Andes;-74.033081;4.830003
17;Actual;FUSCA;IP – Accesos Norte a Bogotá;4G;Unidireccional S-N;55;Cundinamarca;ACCESOS NORTE DE BOGOTÁ S.A.S.;12/01/2017 12:00:00 AM;9000;15600;10000;22600;34400;44300;49100;Fusca;-74.028931;4.835358
18;Actual;LA CABAÑA;Perimetral de Oriente de Cundinamarca;4G;Unidireccional N-S;5009;Cundinamarca;PERIMETRAL ORIENTAL DE BOGOTA S.A.S;04/18/2016 12:00:00 AM;10000;15700;24300;35600;48700;49100;0;La Cabaña;-73.945587;4.809454
19;Actual;UNISABANA;IP – Accesos Norte a Bogotá;4G;Unidireccional O-E;45A;Cundinamarca;ACCESOS NORTE DE BOGOTÁ S.A.S.;12/01/2017 12:00:00 AM;0;0;0;0;34400;44300;49100;Unisabana;-74.031464;4.855403
20;Actual;NARANJAL;IP - Chirajara – Fundadores;4G;Bidireccional;4006;Cundinamarca;CONCESIONARIA VIAL ANDINA S.A.S. COVIANDINA SAS;06/01/2015 12:00:00 AM;10200;26600;20100;39400;45900;52900;58800;Naranjal;-73.834808;4.279872
21;Actual;PIPIRAL;IP - Chirajara – Fundadores;4G;Bidireccional;4006;Meta;CONCESIONARIA VIAL ANDINA S.A.S. COVIANDINA SAS;11/16/1993 12:00:00 AM;16600;33000;22500;39400;43000;65800;85100;Pipiral;-73.72142;4.200048
22;Actual;VERACRUZ;Villavicencio – Yopal;4G;Bidireccional;6510;Meta;CONCESIONARIA VIAL DEL ORIENTE S.A.S. - COVIORIENTE S.A.S;09/08/2015 12:00:00 AM;6900;14000;9000;14000;20100;27000;30200;Veracruz;-73.448189;4.261088
23;Actual;EL ROBLE;Briceño – Tunja – Sogamoso;3G;Bidireccional;5501;Cundinamarca;CSS CONSTRUCTORES S.A;01/16/2004 12:00:00 AM;8100;9000;23700;29400;34600;0;0;El Roble;-73.839882;5.031285
24;Actual;MACHETÁ;Transversal del Sisga;4G;Bidireccional;5607;Cundinamarca;CONCESIÓN TRANSVERSAL DEL SISGA S.A.S.;04/18/2016 12:00:00 AM;8800;9500;20200;25600;28700;0;0;Machetá;-73.553398;5.077249
25;Actual;ALBARRACÍN;Briceño – Tunja – Sogamoso;3G;Bidireccional;5501;Cundinamarca;CSS CONSTRUCTORES S.A;01/16/2004 12:00:00 AM;8100;9000;23700;29400;34600;0;0;Albarracín;-73.583504;5.290677
27;Actual;PUERTO BERRÍO;Autopista al Río Magdalena;4G;Bidireccional;6206;Antioquia;Autopista Río Magdalena S.A.S Grupo OHL;04/18/2016 12:00:00 AM;8800;9700;20200;25700;29000;0;0;Puerto Berrío;-74.501381;6.496662
28;Actual;LA APARTADA;IP – Antioquia – Bolívar;4G;Bidireccional;2513;Córdoba;Concesión Ruta al Mar SAS CORUMA SAS;05/30/2016 12:00:00 AM;13100;19300;19300;19300;34900;55600;64100;La Apartada;-75.301727;8.031278
29;Actual;RIO SOGAMOSO;Bucaramanga - Barranca - Yondó;4G;Bidireccional;6602;Santander;CONCESIONARIA RUTA DEL CACAO S.A.S.;04/18/2016 12:00:00 AM;8800;9700;20200;25700;29000;0;0;Río Sogamoso;-73.440552;7.118267
30;Actual;EL PLACER;Rumichaca – Pasto;4G;Bidireccional;2502;Nariño;CONCESIONARIA VIAL UNION DEL SUR SAS;10/28/2015 12:00:00 AM;10300;10800;22900;29900;34500;0;0;El Placer;-77.408562;1.087343
33;Actual;PAVAS;Armenia – Pereira – Manizales;1G;Bidireccional;29CL03-1;Caldas;AUTOPISTAS DEL CAFE S.A;09/01/2000 12:00:00 AM;10800;13100;13100;13100;31900;39900;46300;Pavas;-75.587418;5.027062
34;Actual;SANTÁGUEDA;Armenia – Pereira – Manizales;1G;Bidireccional;29CL03-1;Caldas;AUTOPISTAS DEL CAFE S.A;02/01/2005 12:00:00 AM;10800;13100;13100;13100;31900;39900;46300;Santagueda;-75.598846;5.048662
